,Date,XIC,XFN
507,2003-04-07,0.011022959,0.007380759
508,2003-04-08,-0.003660507,0.007325706
509,2003-04-09,-0.004901998,-0.003656495
510,2003-04-10,-0.002706451,0.007299668
511,2003-04-11,0.005160043,0.003629395
512,2003-04-14,0.001224871,0.001809908
513,2003-04-15,0.007317068,0.009001412
514,2003-04-16,-0.003651923,-0.009001412
515,2003-04-17,0.008500771,0.003610569
516,2003-04-21,0.006027255,0.003596345
517,2003-04-22,0.002401218,0.008936652
518,2003-04-23,0.007168292,0.007092586
519,2003-04-24,-0.009569509,-0.010657014
520,2003-04-25,-0.009661645,-0.008968569
521,2003-04-28,0.007255132,0.003596345
522,2003-04-29,-0.006042147,0.005372224
523,2003-04-30,0.006042147,0.003564428
524,2003-05-01,-0.00241248,-0.005351828
525,2003-05-02,0.004818992,-0.003584824
526,2003-05-05,0.007185784,0.010714385
527,2003-05-06,0.00357394,0.00177512
528,2003-05-07,-0.001190214,-0.003552852
529,2003-05-08,-0.005970002,-0.008577166
530,2003-05-09,0.005970002,0.008577166
531,2003-05-12,0.008298734,0.010620103
532,2003-05-13,0.002359059,-0.001762742
533,2003-05-14,0.002352246,0.007030395
534,2003-05-15,0.005624893,0.005239517
535,2003-05-16,-0.003277381,0.003478706
536,2003-05-20,-0.004464221,-0.001737973
537,2003-05-21,-0.003775582,-0.000347824
538,2003-05-22,0.015249298,0.000347824
539,2003-05-23,0.001163747,-0.008733187
540,2003-05-26,0,0.001752937
541,2003-05-27,0,0.005937345
542,2003-05-28,0.006952172,0.001042905
543,2003-05-29,-0.006952172,-0.001740733
544,2003-05-30,0.006952172,-0.008748335
545,2003-06-02,0.013761769,0.013961867
546,2003-06-03,-0.006857134,-0.00660825
547,2003-06-04,0.01366772,0.016952769
548,2003-06-05,0.004514254,0.003082695
549,2003-06-06,0,0.001708743
550,2003-06-09,-0.010186109,-0.010295081
551,2003-06-10,0.003407215,0.00516033
552,2003-06-11,0.011273612,0.013634035
553,2003-06-12,0.005589726,0.001691532
554,2003-06-13,-0.017998041,-0.008825687
555,2003-06-16,0.010163707,0.01757301
556,2003-06-17,0.005602251,0
557,2003-06-18,-0.002237376,-0.001675378
558,2003-06-19,-0.002242243,-0.006059043
559,2003-06-20,-0.003372744,-0.006435649
560,2003-06-23,-0.0064478,-0.000478357
561,2003-06-24,0.001138209,0.001709294
562,2003-06-25,-0.005704653,-0.006510449
563,2003-06-26,0.002285829,-0.000687858
564,2003-06-27,-0.002285829,-0.004481796
565,2003-06-30,0.003427244,0.009628911
566,2003-07-02,-0.003427244,-0.00411531
567,2003-07-03,0.004566445,0.004799248
568,2003-07-04,-0.001139201,-0.004113012
569,2003-07-07,0.010209101,0.008889596
570,2003-07-08,0.001128389,0.002039259
571,2003-07-09,0.006741484,0.003730445
572,2003-07-10,-0.007869873,-0.006790508
573,2003-07-11,0,0.003400309
574,2003-07-14,0.005627908,0.008789522
575,2003-07-15,0.002241965,0.003360708
576,2003-07-16,-0.002241965,-0.002014687
577,2003-07-17,-0.003372702,-0.005730549
578,2003-07-18,0.004494163,0.006065974
579,2003-07-21,0.006703823,-0.001008146
580,2003-07-22,0.006659772,0.010372988
581,2003-07-23,0.005515859,0.006635811
582,2003-07-24,0.005485163,-0.001322814
583,2003-07-25,-0.002190397,0.003964332
584,2003-07-28,0.0032838,0.0019776
585,2003-07-29,-0.009884811,-0.004288249
586,2003-07-30,-0.003316326,-0.007965551
587,2003-07-31,0.001106714,0.000998871
588,2003-08-01,0,-0.006010025
589,2003-08-05,0,-0.008407023
590,2003-08-06,-0.01403662,-0.00745862
591,2003-08-07,0.005147529,0.003058227
592,2003-08-08,0.009994434,0.009117174
593,2003-08-11,0.012517926,0.014018934
594,2003-08-12,0.004790174,0.006936263
595,2003-08-13,0.004550759,0.003942386
596,2003-08-14,0.001079974,-0.000984795
597,2003-08-15,0.001079817,0.000328746
598,2003-08-18,0.003231037,0.003603013
599,2003-08-19,0.007498212,0.006841103
600,2003-08-20,0.00106729,-0.008477758
601,2003-08-21,0.005316455,-0.00131031
602,2003-08-22,-0.007451176,-0.00558999
603,2003-08-25,-0.007506682,-0.002640645
604,2003-08-26,0.007506682,0.013788312
605,2003-08-27,0.004264184,0.00390543
606,2003-08-28,0.001063601,0
607,2003-08-29,0.002335127,-0.00129954
608,2003-09-02,0.007183626,0.007774232
609,2003-09-03,0.004201616,-0.002908136
610,2003-09-04,-0.002098461,0.000647011
611,2003-09-05,0.003146322,-0.002266496
612,2003-09-08,0.002092155,-0.003246612
613,2003-09-09,-0.00628922,-0.001627638
614,2003-09-10,-0.001052411,0.004549939
615,2003-09-11,0.003153216,-0.000324169
616,2003-09-12,-0.002311507,-0.00032526
617,2003-09-15,-0.004004475,-0.004552036
618,2003-09-16,0.008412244,0.00714526
619,2003-09-17,-0.001047861,0.001940024
620,2003-09-18,-0.004201616,0
621,2003-09-19,0.002103155,0.002258207
622,2003-09-22,-0.006322216,-0.005493879
623,2003-09-23,0.007372277,0.011918652
624,2003-09-24,-0.004206314,-0.004171899
625,2003-09-25,-0.012314119,-0.006810286
626,2003-09-26,-0.005373884,-0.007512448
627,2003-09-29,0.001077176,-0.005919958
628,2003-09-30,-0.004314388,-0.002310733
629,2003-10-01,0.010752334,0.014766566
630,2003-10-02,0.003204064,0.001302704
631,2003-10-03,0,0.00032492
632,2003-10-06,0.004254438,0.006806113
633,2003-10-07,0.001061316,0.005153822
634,2003-10-08,0.001059768,-0.000321056
635,2003-10-09,0.003173285,0.008003349
636,2003-10-10,0.003162687,0.004454792
637,2003-10-14,0.016702111,0.017310159
638,2003-10-15,0.008247392,0.013942759
639,2003-10-16,-0.001850131,-0.010828243
640,2003-10-17,-0.009508171,-0.004363941
641,2003-10-20,0.002282198,0.003430522
642,2003-10-21,0.002896741,0.00651723
643,2003-10-22,-0.009340961,-0.004029655
644,2003-10-23,-0.002088428,-0.001554156
645,2003-10-24,-0.010503436,-0.00780639
646,2003-10-27,0.007364335,0.009049908
647,2003-10-28,0.006269487,0.007119442
648,2003-10-29,0.005194942,0.003695648
649,2003-10-30,0,-0.005856775
650,2003-10-31,0.00413661,0.002161127
